timestamp,tower_id,latency_sec,bandwidth,dropped_calls,total_calls,uptime_percent,network_type,operator,users_connected,download_speed_mbps,signal_strength_dbm,tower_load_percent,average_call_duration_sec,handover_success_rate,packet_loss_percent,jitter_ms,tower_temperature_c,battery_backup_hours,tower_age_years,maintenance_due,upload_speed_mbps,call_drop_reason,weather_condition,technician_notes,last_maintenance,tower_color,is_test_tower,tower_height_m,signal_icon,internal_code,notes,extra_flag,location_latitude,location_longitude,signal_strength_RSSI,signal_strength_RSRP,signal_strength_SINR,voip_metrics_jitter_ms,voip_metrics_packet_loss_percent,cluster,anomaly,pca1,pca2,recommendation
2025-08-22 00:00:00,TWR1067,0.746,90.89 Gbps,8,107,96.08,5G,EE,134,54.35,-104.26,58.42,296.9,97.56,0.02,15.27,17.4,0.0,5,True,21.74,Other,Rainy,,2025-06-28,Red,True,60.31,📶,INT30361,Temporary site,A,53.408716,-3.001193,-90.93,-115.77,5.41,41.17,2.46,3,1,0.46368108356231236,-1.8105416585186174,⚡ High latency → Check backhaul/core network; 📞 High jitter → Review routing paths / bandwidth
2025-08-22 00:05:00,TWR1039,0.96,8.19 Mbps,5,60,98.37,LTE,Three,399,22.27,-79.15,92.97,99.2,99.72,4.4,9.16,22.4,6.7,10,True,8.91,Satisfactory,Sunny,No issues,2024-09-06,White,True,84.39,✅,INT20492,Legacy hardware,A,51.505695,-0.128655,-77.09,-123.02,-0.74,9.25,2.42,3,1,0.17905502190689465,0.10253132882474439,⚡ High latency → Check backhaul/core network; 📞 Packet loss high → Optimize VoIP routing/codecs
2025-08-22 00:10:00,TWR1086,0.386,10.35 Mbps,2,133,99.0,4G,EE,420,21.28,-89.04,32.46,107.6,94.65,2.1,9.09,29.3,5.9,19,False,8.51,Satisfactory,Rainy,Rebooted system,2025-04-23,Red,False,44.19,🔇,INT65669,,C,51.500487,-0.12343399999999999,-64.86,-84.9,-8.74,3.42,4.41,1,1,-1.3471045046347092,0.490890847949224,📞 Packet loss high → Optimize VoIP routing/codecs
2025-08-22 00:15:00,TWR1060,0.733,16.6 Gbps,10,59,98.17,5G,Vodafone UK,195,40.82,-94.8,75.2,203.0,88.81,2.33,3.49,30.6,7.8,9,False,16.33,Other,Foggy,Rebooted system,2025-05-13,Blue,False,91.61,🔇,INT23553,Pending upgrade,C,53.403799,-2.985391,-118.54,-133.6,21.33,34.32,3.84,3,1,1.1186581238218158,-0.5597161216392355,⚡ High latency → Check backhaul/core network; 📞 Packet loss high → Optimize VoIP routing/codecs; 📞 High jitter → Review routing paths / bandwidth
2025-08-22 00:20:00,TWR1077,0.797,35.81 Gbps,9,186,97.37,LTE,O2,426,21.01,-66.71,70.25,150.6,97.47,0.6900000000000001,15.58,37.1,1.4,8,True,8.4,Other,Sunny,No issues,2025-07-25,Blue,True,33.5,🔇,INT33446,Legacy hardware,C,51.45491,-2.589251,-94.11,-90.0,10.98,20.85,3.61,3,1,0.3193707268866943,-1.2884288986435977,⚡ High latency → Check backhaul/core network
2025-08-22 00:25:00,TWR1066,0.373,24.41 Gbps,4,73,98.18,5G,EE,415,21.51,-75.06,42.83,141.6,96.78,2.61,11.05,27.4,7.8,3,False,8.6,Satisfactory,Foggy,,2025-05-05,Grey,True,45.33,🔇,INT78434,,C,51.513876,-0.137781,-117.41,-133.99,-8.31,26.16,4.3,1,1,-0.7078643410209673,0.7424633957017924,📞 Packet loss high → Optimize VoIP routing/codecs
2025-08-22 00:30:00,TWR1025,0.624,91.5 Mbps,4,171,96.69,LTE,Three,177,44.05,-82.19,27.33,179.6,97.96,1.63,5.97,39.5,1.8,18,False,17.62,Poor Voice Quality,Rainy,,2025-04-12,White,True,42.72,✅,INT13617,Pending upgrade,Z,57.155205,-2.090166,-74.99,-114.29,-5.92,19.31,2.25,1,1,-0.8994123907600288,-0.5874253803222944,✅ Tower healthy
2025-08-22 00:35:00,TWR1091,0.807,42.89 Gbps,2,122,99.17,4G,Three,200,40.0,-61.12,37.5,260.1,87.27,3.3,18.28,27.7,9.0,11,False,16.0,Satisfactory,Cloudy,Rebooted system,2025-07-31,White,True,76.82,⚠️,INT60435,Temporary site,Z,51.453395,-2.59525,-64.01,-109.57,10.89,3.17,2.33,3,1,-1.1688349885673053,-0.18745013123614226,⚡ High latency → Check backhaul/core network; 📞 Packet loss high → Optimize VoIP routing/codecs
2025-08-22 00:40:00,TWR1010,0.591,72.19 Gbps,7,114,99.67,LTE,O2,412,21.65,-100.15,78.83,200.4,94.24,3.94,12.09,21.6,4.3,6,True,8.66,Other,Cloudy,Rebooted system,2025-04-01,Grey,True,69.84,🔇,INT94219,,A,57.147204,-2.098314,-108.16,-139.99,10.7,33.54,1.57,0,1,0.5168500468018906,0.7947632804963455,📞 Packet loss high → Optimize VoIP routing/codecs; 📞 High jitter → Review routing paths / bandwidth
2025-08-22 00:45:00,TWR1038,0.215,66.16 Gbps,6,137,99.3,LTE,Vodafone UK,121,58.48,-81.31,68.78,129.3,91.78,3.16,6.7,12.0,9.9,16,True,23.39,Other,Foggy,Rebooted system,2024-12-29,White,True,85.7,✅,INT70260,Legacy hardware,A,51.747106,-1.264508,-109.08,-83.66,27.84,6.68,3.73,0,1,1.008774261250361,1.0017865223119093,📞 Packet loss high → Optimize VoIP routing/codecs; 🛠️ Old tower + maintenance due → Replace/upgrade tower
